table,index,target,target_region,relation,close_relation,component_id,kernel_bucket,bucket_confidence,distance,block_start,block_end,block_confidence
A,0,0x70017d41,flk_dense,nearest_block_start,1,comp_011,AC_flk_landing_series,strong,7,0x70017d48,0x70017d4c,entry
A,1,0x70017dba,flk_dense,nearest_block_start,1,comp_013,AB_flk_landing_series,strong,26,0x70017da0,0x70017da4,entry
A,2,0x70017daf,flk_dense,nearest_block_start,1,comp_013,AB_flk_landing_series,strong,15,0x70017da0,0x70017da4,entry
A,3,0x70017da4,flk_dense,successor_node,1,comp_013,AB_flk_landing_series,strong,0,,,
A,4,0x70017d99,flk_dense,nearest_block_start,1,comp_013,AB_flk_landing_series,strong,7,0x70017da0,0x70017da4,entry
A,5,0x70017d8e,flk_dense,nearest_block_start,1,comp_013,AB_flk_landing_series,strong,18,0x70017da0,0x70017da4,entry
A,6,0x70017d83,flk_dense,nearest_block_start,1,comp_013,AB_flk_landing_series,strong,29,0x70017da0,0x70017da4,entry
A,7,0x70017d78,flk_dense,nearest_block_start,1,comp_012,A_flk_landing_series,strong,32,0x70017d58,0x70017d62,entry
A,8,0x70017d6d,flk_dense,nearest_block_start,1,comp_012,A_flk_landing_series,strong,21,0x70017d58,0x70017d62,entry
A,9,0x70017d62,flk_dense,successor_node,1,comp_012,A_flk_landing_series,strong,0,,,
A,10,0x70017d57,flk_dense,nearest_block_start,1,comp_012,A_flk_landing_series,strong,1,0x70017d58,0x70017d62,entry
A,11,0x70017d4c,flk_dense,successor_node,1,comp_011,AC_flk_landing_series,strong,0,,,
B,0,0x70017dc5,flk_dense,nearest_block_start,1,comp_013,AB_flk_landing_series,strong,37,0x70017da0,0x70017da4,entry
B,1,0x70017e3e,flk_dense,nearest_block_start,1,comp_006,B_flk_landing_series,strong,2,0x70017e40,0x70017e48,entry
B,2,0x70017e33,flk_dense,nearest_block_start,1,comp_006,B_flk_landing_series,strong,13,0x70017e40,0x70017e48,entry
B,3,0x70017e28,flk_dense,successor_node,1,comp_016,B_flk_landing_series,strong,0,,,
B,4,0x70017e1d,flk_dense,nearest_block_start,1,comp_016,B_flk_landing_series,strong,3,0x70017e20,0x70017e28,entry
B,5,0x70017e12,flk_dense,successor_node,1,comp_015,B_flk_landing_series,strong,0,,,
B,6,0x70017e07,flk_dense,successor_node,1,comp_014,B_flk_landing_series,strong,0,,,
B,7,0x70017dfc,flk_dense,nearest_block_start,1,comp_014,B_flk_landing_series,strong,4,0x70017e00,0x70017e07,entry
B,8,0x70017df1,flk_dense,nearest_block_start,1,comp_014,B_flk_landing_series,strong,15,0x70017e00,0x70017e07,entry
B,9,0x70017de6,flk_dense,nearest_block_start,1,comp_014,B_flk_landing_series,strong,26,0x70017e00,0x70017e07,entry
B,10,0x70017ddb,flk_dense,nearest_block_start,1,comp_014,B_flk_landing_series,strong,37,0x70017e00,0x70017e07,entry
B,11,0x70017dd0,flk_dense,nearest_block_start,1,comp_013,AB_flk_landing_series,strong,48,0x70017da0,0x70017da4,entry
C,0,0x70017cc8,flk_dense,nearest_block_start,1,comp_008,C_flk_landing_series,strong,8,0x70017cd0,0x70017cd1,entry
C,1,0x700169a4,flk_dense,nearest_block_start,1,comp_000,C_flk_control_anchor,strong,8,0x700169ac,0x700169d1,strong
C,2,0x70017d36,flk_dense,nearest_block_start,1,comp_011,AC_flk_landing_series,strong,18,0x70017d48,0x70017d4c,entry
C,3,0x70017d2b,flk_dense,nearest_block_start,1,comp_036,C_flk_landing_series,strong,27,0x70017d10,0x70017d15,entry
C,4,0x70017d20,flk_dense,nearest_block_start,1,comp_036,C_flk_landing_series,strong,16,0x70017d10,0x70017d15,entry
C,5,0x70017d15,flk_dense,successor_node,1,comp_036,C_flk_landing_series,strong,0,,,
C,6,0x70017d0a,flk_dense,successor_node,1,comp_010,C_flk_landing_series,strong,0,,,
C,7,0x70017cff,flk_dense,nearest_block_start,1,comp_010,C_flk_landing_series,strong,1,0x70017d00,0x70017d0a,entry
C,8,0x70017cf4,flk_dense,successor_node,1,comp_035,C_flk_landing_series,strong,0,,,
C,9,0x70017ce9,flk_dense,successor_node,1,comp_009,C_flk_landing_series,strong,0,,,
C,10,0x70017cde,flk_dense,nearest_block_start,1,comp_009,C_flk_landing_series,strong,2,0x70017ce0,0x70017ce9,entry
C,11,0x70017cd3,flk_dense,nearest_block_start,1,comp_008,C_flk_landing_series,strong,3,0x70017cd0,0x70017cd1,entry
D,0,0x70081ee7,ann_dense,exact_block_start,1,comp_038,D_ann_generated_stub_family,strong,0,0x70081ee7,0x70081f1c,medium
D,1,0x70082aac,ann_dense,nearest_block_start,1,comp_049,D_ann_generated_stub_family,strong,16,0x70082a9c,0x70082aa6,entry
D,2,0x70082a44,ann_dense,nearest_block_start,1,comp_047,D_ann_generated_stub_family,strong,28,0x70082a28,0x70082a2e,entry
D,3,0x700829dc,ann_dense,nearest_block_start,1,comp_047,D_ann_generated_stub_family,strong,16,0x700829ec,0x70082a28,entry
D,4,0x70082974,ann_dense,nearest_block_start,1,comp_046,D_ann_generated_stub_family,strong,4,0x70082978,0x700829b0,entry
D,5,0x7008290c,ann_dense,nearest_block_start,1,comp_044,D_ann_generated_stub_family,strong,8,0x70082904,0x70082906,entry
D,6,0x700828a4,ann_dense,nearest_block_start,1,comp_042,D_ann_generated_stub_family,strong,24,0x7008288c,0x7008288e,entry
D,7,0x7008283c,ann_dense,nearest_block_start,1,comp_042,D_ann_generated_stub_family,strong,20,0x70082850,0x7008288c,entry
D,8,0x700827d4,ann_dense,nearest_block_start,1,comp_041,D_ann_generated_stub_family,strong,8,0x700827dc,0x70082818,entry
D,9,0x7008276c,ann_dense,nearest_block_start,1,comp_039,D_ann_generated_stub_family,strong,8,0x70082764,0x70082766,entry
D,10,0x70082704,ann_dense,nearest_block_start,1,comp_037,D_ann_generated_stub_family,strong,28,0x700826e8,0x700826ee,entry
D,11,0x7008269c,ann_dense,nearest_block_start,0,comp_037,D_ann_generated_stub_family,strong,76,0x700826e8,0x700826ee,entry
D,12,0x70082634,ann_dense,nearest_block_start,0,comp_037,D_ann_generated_stub_family,strong,180,0x700826e8,0x700826ee,entry
D,13,0x700825cc,ann_dense,nearest_block_start,0,comp_037,D_ann_generated_stub_family,strong,284,0x700826e8,0x700826ee,entry
D,14,0x70082557,ann_dense,nearest_block_start,0,comp_037,D_ann_generated_stub_family,strong,401,0x700826e8,0x700826ee,entry
D,15,0x700824e2,ann_dense,nearest_block_start,0,comp_051,D_ann_generated_stub_family,strong,496,0x700822f2,0x70082302,medium
D,16,0x7008246b,ann_dense,nearest_block_start,0,comp_051,D_ann_generated_stub_family,strong,377,0x700822f2,0x70082302,medium
D,17,0x700823f4,ann_dense,nearest_block_start,0,comp_051,D_ann_generated_stub_family,strong,258,0x700822f2,0x70082302,medium
D,18,0x7008237f,ann_dense,nearest_block_start,0,comp_051,D_ann_generated_stub_family,strong,141,0x700822f2,0x70082302,medium
D,19,0x70082308,ann_dense,nearest_block_start,1,comp_051,D_ann_generated_stub_family,strong,22,0x700822f2,0x70082302,medium
D,20,0x70082293,ann_dense,exact_block_start,1,comp_050,D_ann_generated_stub_family,strong,0,0x70082293,0x700822c8,medium
D,21,0x70081ec5,ann_dense,nearest_block_start,1,comp_037,D_ann_generated_stub_family,strong,2,0x70081ec7,0x70081eda,medium
D,22,0x70081ec5,ann_dense,nearest_block_start,1,comp_037,D_ann_generated_stub_family,strong,2,0x70081ec7,0x70081eda,medium
D,23,0x7008221e,ann_dense,exact_block_start,1,comp_048,D_ann_generated_stub_family,strong,0,0x7008221e,0x70082253,medium
